productId,name,description,category,basePrice,size,color,stockQuantity,active,imageUrl
PROD_0001,Away Jersey 2026 v2,Official Away Jersey 2026 v2 - Premium quality,SCARF,293,62,ONE_SIZE,White,49,true,/img/PROD_0001.jpg
PROD_0002,Third Kit 2026 v3,Official Third Kit 2026 v3 - Premium quality,CAP,285,29,L,Black,415,true,/img/PROD_0002.jpg
PROD_0003,Club Scarf v4,Official Club Scarf v4 - Premium quality,JACKET,255,75,M,White,495,false,/img/PROD_0003.jpg
PROD_0004,Club Cap v5,Official Club Cap v5 - Premium quality,TICKET_PACKAGE,293,53,S,Green,20,false,/img/PROD_0004.jpg
PROD_0005,Club Jacket v1,Official Club Jacket v1 - Premium quality,FOOTBALL,245,88,L,White,149,true,/img/PROD_0005.jpg
PROD_0006,Training Shirt v2,Official Training Shirt v2 - Premium quality,FLAG,152,96,M,Black,427,true,/img/PROD_0006.jpg
PROD_0007,Official Match Ball v3,Official Official Match Ball v3 - Premium quality,MUG,204,69,L,Black,473,true,/img/PROD_0007.jpg
PROD_0008,Club Flag v4,Official Club Flag v4 - Premium quality,KEYCHAIN,209,03,S,Blue,290,false,/img/PROD_0008.jpg
PROD_0009,Club Mug v5,Official Club Mug v5 - Premium quality,TRAINING_GEAR,192,06,M,White,356,false,/img/PROD_0009.jpg
PROD_0010,Keychain Set v1,Official Keychain Set v1 - Premium quality,JERSEY,140,08,S,Red,34,true,/img/PROD_0010.jpg
PROD_0011,Home Shorts v2,Official Home Shorts v2 - Premium quality,SCARF,245,24,L,Green,453,true,/img/PROD_0011.jpg
PROD_0012,Training Pants v3,Official Training Pants v3 - Premium quality,CAP,286,52,S,White,484,true,/img/PROD_0012.jpg
PROD_0013,Stadium Blanket v4,Official Stadium Blanket v4 - Premium quality,JACKET,63,55,S,Black,74,true,/img/PROD_0013.jpg
PROD_0014,Signed Jersey v5,Official Signed Jersey v5 - Premium quality,TICKET_PACKAGE,237,81,M,Blue,62,true,/img/PROD_0014.jpg
PROD_0015,Home Jersey 2026 v1,Official Home Jersey 2026 v1 - Premium quality,FOOTBALL,195,34,L,Black,18,true,/img/PROD_0015.jpg
PROD_0016,Away Jersey 2026 v2,Official Away Jersey 2026 v2 - Premium quality,FLAG,231,78,ONE_SIZE,Blue,10,true,/img/PROD_0016.jpg
PROD_0017,Third Kit 2026 v3,Official Third Kit 2026 v3 - Premium quality,MUG,130,17,L,Black,185,true,/img/PROD_0017.jpg
PROD_0018,Club Scarf v4,Official Club Scarf v4 - Premium quality,KEYCHAIN,180,76,L,White,446,true,/img/PROD_0018.jpg
PROD_0019,Club Cap v5,Official Club Cap v5 - Premium quality,TRAINING_GEAR,35,28,S,Green,36,true,/img/PROD_0019.jpg
PROD_0020,Club Jacket v1,Official Club Jacket v1 - Premium quality,JERSEY,123,94,ONE_SIZE,Black,154,true,/img/PROD_0020.jpg
