productId,name,description,category,basePrice,size,color,stockQuantity,active,imageUrl
PROD_0001,Away Jersey 2026 v2,Official Away Jersey 2026 v2 - Premium quality,SCARF,234.47,M,Green,106,true,/img/PROD_0001.jpg
PROD_0002,Third Kit 2026 v3,Official Third Kit 2026 v3 - Premium quality,CAP,180.51,S,Blue,472,true,/img/PROD_0002.jpg
PROD_0003,Club Scarf v4,Official Club Scarf v4 - Premium quality,JACKET,202.97,ONE_SIZE,Blue,283,true,/img/PROD_0003.jpg
PROD_0004,Club Cap v5,Official Club Cap v5 - Premium quality,TICKET_PACKAGE,232.75,S,Green,440,true,/img/PROD_0004.jpg
PROD_0005,Club Jacket v1,Official Club Jacket v1 - Premium quality,FOOTBALL,215.25,XL,White,13,true,/img/PROD_0005.jpg
PROD_0006,Training Shirt v2,Official Training Shirt v2 - Premium quality,FLAG,163.07,XL,Green,197,true,/img/PROD_0006.jpg
PROD_0007,Official Match Ball v3,Official Official Match Ball v3 - Premium quality,MUG,57.72,XL,Green,15,true,/img/PROD_0007.jpg
PROD_0008,Club Flag v4,Official Club Flag v4 - Premium quality,KEYCHAIN,84.81,XL,Blue,24,true,/img/PROD_0008.jpg
PROD_0009,Club Mug v5,Official Club Mug v5 - Premium quality,TRAINING_GEAR,121.76,M,White,248,true,/img/PROD_0009.jpg
PROD_0010,Keychain Set v1,Official Keychain Set v1 - Premium quality,KIT,231.14,ONE_SIZE,Blue,381,true,/img/PROD_0010.jpg
PROD_0011,Home Shorts v2,Official Home Shorts v2 - Premium quality,FOOTWEAR,277.34,M,Blue,26,true,/img/PROD_0011.jpg
PROD_0012,Training Pants v3,Official Training Pants v3 - Premium quality,ACCESSORIES,117.09,M,Red,231,false,/img/PROD_0012.jpg
PROD_0013,Stadium Blanket v4,Official Stadium Blanket v4 - Premium quality,JERSEY,241.39,XL,Red,136,false,/img/PROD_0013.jpg
PROD_0014,Signed Jersey v5,Official Signed Jersey v5 - Premium quality,SCARF,148.76,XL,Green,217,true,/img/PROD_0014.jpg
PROD_0015,Home Jersey 2026 v1,Official Home Jersey 2026 v1 - Premium quality,CAP,255.25,ONE_SIZE,White,474,true,/img/PROD_0015.jpg
PROD_0016,Away Jersey 2026 v2,Official Away Jersey 2026 v2 - Premium quality,JACKET,39.24,M,Blue,213,false,/img/PROD_0016.jpg
PROD_0017,Third Kit 2026 v3,Official Third Kit 2026 v3 - Premium quality,TICKET_PACKAGE,251.72,M,Black,276,true,/img/PROD_0017.jpg
PROD_0018,Club Scarf v4,Official Club Scarf v4 - Premium quality,FOOTBALL,114.60,M,Green,137,true,/img/PROD_0018.jpg
PROD_0019,Club Cap v5,Official Club Cap v5 - Premium quality,FLAG,57.39,L,White,193,true,/img/PROD_0019.jpg
